"year","sex","age","deaths"
2015,"male",25,507.992538435646
2015,"male",30,503.968835160908
2015,"male",35,605.567342848037
2015,"male",40,657.58045739272
2015,"male",45,729.296218546224
2015,"male",50,876.161388074154
2015,"male",55,1048.17470306919
2015,"male",60,1192.02209514107
2015,"male",65,1369.06503922953
2015,"male",70,1503.85909893325
2015,"male",75,1467.64576946061
2015,"male",80,1664.80722992276
2015,"male",85,2786.41451775592
2016,"male",0,728.436304291546
2016,"male",1,105.556722696175
2016,"male",5,76.4029611896127
2016,"male",10,117.620348147167
2016,"male",15,384.025410189895
2016,"male",20,592.122949219498
2016,"male",25,587.096438614918
2016,"male",30,585.085834373086
2016,"male",35,658.472889199951
2016,"male",40,738.897058873228
2016,"male",45,799.215186128185
2016,"male",50,976.148359409393
2016,"male",55,1138.00200087686
2016,"male",60,1246.57462993579
2016,"male",65,1322.9775911254
2016,"male",70,1555.20238105698
2016,"male",75,1558.21828741973
2016,"male",80,1700.9711885898
2016,"male",85,3012.89045638512
2017,"male",0,687.209153643191
2017,"male",1,120.036533387457
2017,"male",5,80.0243555916379
2017,"male",10,117.03562005277
2017,"male",15,506.15404911711
2017,"male",20,752.228942561396
2017,"male",25,775.235944793992
2017,"male",30,767.233509234828
2017,"male",35,815.248122589811
2017,"male",40,918.279480414045
2017,"male",45,939.28587375685
2017,"male",50,1022.31114268317
2017,"male",55,1183.36015831135
2017,"male",60,1374.41830728638
2017,"male",65,1470.44753399635
2017,"male",70,1559.47462959204
2017,"male",75,1756.53460523645
2017,"male",80,1750.53277856708
2017,"male",85,3118.94925918409
2018,"male",0,639.298472176181
2018,"male",1,107.020803790211
2018,"male",5,56.0108879649701
2018,"male",10,114.022164785832
2018,"male",15,557.108296365863
2018,"male",20,908.176540574872
2018,"male",25,987.191900382597
2018,"male",30,906.17615171898
2018,"male",35,954.185484260383
2018,"male",40,988.192094810543
2018,"male",45,1019.19812207687
2018,"male",50,1108.21542616405
2018,"male",55,1146.22281442599
2018,"male",60,1343.26111673134
2018,"male",65,1510.2935861983
2018,"male",70,1640.31886183127
2018,"male",75,1638.31847297537
2018,"male",80,1791.3482204511
2018,"male",85,3162.61478116492
2019,"male",0,644.435311126885
2019,"male",1,125.086569136389
2019,"male",5,82.0567893534712
2019,"male",10,132.091417008027
2019,"male",15,572.396140368116
2019,"male",20,1019.70571159984
2019,"male",25,1105.76527116568
2019,"male",30,1028.71194457766
2019,"male",35,964.667621179832
2019,"male",40,1056.73133606421
2019,"male",45,1103.7638860595
2019,"male",50,1150.79643605478
2019,"male",55,1344.93079135445
2019,"male",60,1419.98273283629
2019,"male",65,1542.0672243134
2019,"male",70,1719.18980621053
2019,"male",75,1722.1918838698
2019,"male",80,1773.22720407745
2019,"male",85,3166.19123798028
2020,"male",0,550.343839386739
2020,"male",1,100.019465202177
2020,"male",5,68.0132363374805
2020,"male",10,129.025110110809
2020,"male",15,719.139954803654
2020,"male",20,1135.22093004471
2020,"male",25,1300.2530476283
2020,"male",30,1217.2368915105
2020,"male",35,1233.24000594285
2020,"male",40,1382.26900909409
2020,"male",45,1576.30677158631
2020,"male",50,1820.35426667963
2020,"male",55,2101.40896389774
2020,"male",60,2556.49753056765
2020,"male",65,2708.52711767496
2020,"male",70,2763.53782353616
2020,"male",75,2776.54035401244
2020,"male",80,2574.50103430404
2020,"male",85,4117.80138237364
2021,"male",0,483.141041824805
2021,"male",1,99.0030478300431
2021,"male",5,65.0020011005334
2021,"male",10,136.004186918039
2021,"male",15,618.019025848148
2021,"male",20,1067.03284883491
2021,"male",25,1165.03586587879
2021,"male",30,1117.03438814301
2021,"male",35,1203.03703575295
2021,"male",40,1335.04109952634
2021,"male",45,1689.05199782771
2021,"male",50,1986.06114131783
2021,"male",55,2285.07034638029
2021,"male",60,2646.08146018479
2021,"male",65,3037.09349757415
2021,"male",70,3042.09365150496
2021,"male",75,3116.09592968095
2021,"male",80,2908.08952615925
2021,"male",85,4485.1380759368
2022,"male",0,514.609135274664
2022,"male",1,104.012714925855
2022,"male",5,81.0099029710983
2022,"male",10,127.015526880611
2022,"male",15,653.079835063299
2022,"male",20,935.114312073789
2022,"male",25,1027.12555989281
2022,"male",30,1032.12617118733
2022,"male",35,928.113456261472
2022,"male",40,1033.12629344623
2022,"male",45,1233.15074522672
2022,"male",50,1402.17140698123
2022,"male",55,1484.18143221123
2022,"male",60,1708.20881820538
2022,"male",65,1886.23058029002
2022,"male",70,2039.79352109982
2022,"male",75,2209.27006991551
2022,"male",80,2140.26163405124
2022,"male",85,4002.4892801276
2023,"male",0,514.22787360122
2023,"male",1,99.0116755252244
2023,"male",5,71.0083733564741
2023,"male",10,122.014388020984
2023,"male",15,607.071586301124
2023,"male",20,913.107674288181
2023,"male",25,1036.12218024376
2023,"male",30,987.632219383973
2023,"male",35,924.108971568761
2023,"male",40,1008.83844900868
2023,"male",45,1119.13196881542
2023,"male",50,1269.14965900515
2023,"male",55,1470.17336385939
2023,"male",60,1529.18032200069
2023,"male",65,1849.21806107212
2023,"male",70,1906.22478334422
2023,"male",75,1971.2324490931
2023,"male",80,1906.22478334422
2023,"male",85,3310.39036352013
2024,"male",0,457.280570204744
2024,"male",1,75.0258274210875
2024,"male",5,73.0251386898585
2024,"male",10,147.050621745331
2024,"male",15,686.236234811547
2024,"male",20,908.312683977966
2024,"male",25,960.33059098992
2024,"male",30,1011.34815363626
2024,"male",35,988.340233227126
2024,"male",40,1038.35745150785
2024,"male",45,1107.38121273525
2024,"male",50,1357.46730413888
2024,"male",55,1516.52205827158
2024,"male",60,1663.57268001691
2024,"male",65,1939.66772492651
2024,"male",70,1968.67771152934
2024,"male",75,2134.73487622134
2024,"male",80,1922.66187071107
2024,"male",85,3283.13020794679
1990,"female",0,2238.44036411341
1990,"female",1,636.044834426549
1990,"female",5,163.984091041229
1990,"female",10,118.078216612178
1990,"female",15,120.54429225199
1990,"female",20,135.808811438927
1990,"female",25,125.551177668778
1990,"female",30,155.88489660816
1990,"female",35,196.200389291556
1990,"female",40,185.831129562976
1990,"female",45,207.981836263205
1990,"female",50,244.598217834764
1990,"female",55,398.817125734492
1990,"female",60,478.234095329514
1990,"female",65,501.882240849601
1990,"female",70,508.286768146993
1990,"female",75,755.23985872831
1990,"female",80,873.200357992509
1990,"female",85,1834.39093524285
1991,"female",0,1948.69522840178
1991,"female",1,358.115011181432
1991,"female",5,120.590213225921
1991,"female",10,102.622086216836
1991,"female",15,120.2578817741
1991,"female",20,132.049999493134
1991,"female",25,115.94042413596
1991,"female",30,153.76883060834
1991,"female",35,146.890437133903
1991,"female",40,180.423972831522
1991,"female",45,268.014136804698
1991,"female",50,326.982137455606
1991,"female",55,379.17191036789
1991,"female",60,461.229233546433
1991,"female",65,535.678705980301
1991,"female",70,523.000117720821
1991,"female",75,753.545706721624
1991,"female",80,947.745149179018
1991,"female",85,1951.97353995709
1992,"female",0,1595.01655074881
1992,"female",1,288.699382740656
1992,"female",5,74.5726867358047
1992,"female",10,76.5881647556914
1992,"female",15,121.93642020314
1992,"female",20,117.905464163367
1992,"female",25,121.201657900179
1992,"female",30,149.145373471609
1992,"female",35,190.795068468952
1992,"female",40,208.601975058265
1992,"female",45,214.648409117924
1992,"female",50,288.621591060279
1992,"female",55,364.801521599477
1992,"female",60,496.704170817771
1992,"female",65,582.922933961708
1992,"female",70,662.084529532753
1992,"female",75,683.247048741562
1992,"female",80,984.565159788726
1992,"female",85,2014.13605164781
1993,"female",0,1621.9510409272
1993,"female",1,289.553979134757
1993,"female",5,100.978613538625
1993,"female",10,77.4154735881121
1993,"female",15,114.615116740841
1993,"female",20,128.945995999164
1993,"female",25,114.615116740841
1993,"female",30,128.973494002881
1993,"female",35,156.841738697993
